folder,image,ground_truth,prediction,cer_score
85,49.jpg,độ,"cc
c
`",3.0
120,76.jpg,ở,"?
ồ",3.0
49,74.jpg,về,"ñ
lu©`",3.0
42,26.jpg,xe,n2 7/2,3.0
138,90.jpg,số,"n⁄
ko)",3.0
1,82.jpg,tổ,"—~)
18",3.0
144,86.jpg,có,"⁄
(ø2)",3.0
138,63.jpg,năm,"w⁄
veqaaw",3.0
135,77.jpg,dn,(l)yiu,3.0
150,93.jpg,có,"/
c_—co",3.0
55,82.jpg,với,"=„=^—
+
.",3.0
82,9.jpg,viên,"77727/.7)
`",2.75
13,70.jpg,nước,"5ð
101 16/a",2.75
3,18.jpg,tuổi,"?
đ í(pp⁄21",2.75
39,86.jpg,sẵn,"1]
&_
can",2.6667
98,8.jpg,đều,"x
ở exx_",2.6667
25,88.jpg,đưa,“ƒ/'⁄v3ia,2.6667
72,8.jpg,nậu,^œz2rz<z,2.6667
122,93.jpg,côi,"^^
tđơøa",2.6667
127,24.jpg,sản,"2
đ`⁄4⁄)",2.6667
36,28.jpg,các,"^^
(cáo ấu",2.6667
91,88.jpg,cần,"-_
^^
c^",2.6667
114,64.jpg,các,"⁄“⁄ “ˆ
⁄",2.6667
138,33.jpg,cứu,"z⁄_
2
cư",2.6667
138,51.jpg,nếu,"&
aw\0 5",2.6667
138,31.jpg,rằm,})jlovrv,2.6667
75,72.jpg,các,"⁄
(ø— pớ",2.6667
30,52.jpg,mãi,"~.
vwo.a",2.6667
86,8.jpg,của,"c
(v7/1⁄/",2.6667
49,33.jpg,cầu,"cw
(6-1 0",2.6667
143,23.jpg,mãi,"cv
vxwoa",2.6667
14,86.jpg,đến,"⁄ì-
ˆ
p/",2.6667
143,45.jpg,năm,"„
ai” ao",2.6667
49,34.jpg,màu,"_
co ac.",2.6667
102,62.jpg,tàu,"⁄zc—
| 4",2.6667
146,77.jpg,mật,"lạ
j4 t
/",2.6667
144,59.jpg,nơi,"?
at 6))",2.6667
50,52.jpg,của,"2>
cxx cc",2.6667
35,93.jpg,của,pc  ccccc,2.6667
131,7.jpg,sắc,"”
 aượơo",2.6667
6,40.jpg,của,"”
“⁄“⁄⁄z",2.6667
146,50.jpg,vẫn,"^ ©~
va ^",2.6667
83,99.jpg,của,"⁄2
(0/71",2.6667
32,27.jpg,100,ái &®)@),2.6667
20,13.jpg,tốc,"/
^
ý v6",2.6667
66,13.jpg,rồi,"^~¬¬
vớø",2.6667
115,41.jpg,tâm,"—~—
+t+^w",2.6667
93,57.jpg,đấy,"¬ï
cà èv",2.6667
46,90.jpg,đối,"-_,c
⁄ «",2.6667
72,41.jpg,núi,"⁄/
avwal",2.6667
78,61.jpg,của,"cá
cgciaáa",2.6667
99,98.jpg,năm,⁄z1i2øpp,2.6667
99,21.jpg,với,"_
pp ⁄4⁄",2.6667
1,76.jpg,gói,"èc °ˆ
co",2.6667
12,35.jpg,năm,"“_
⁄“ ai",2.6667
78,7.jpg,nếu,"~<
/tjai",2.6667
75,88.jpg,bốn,"l
(2á eì",2.6667
11,97.jpg,nền,"—_—
t042",2.6667
50,95.jpg,cứu,"/)y
caaaa",2.6667
97,14.jpg,cáo,"_
íø⁄02)",2.6667
27,84.jpg,và,"-_
âu",2.5
33,93.jpg,cả,"l
cc«&",2.5
72,13.jpg,ăn,"ø
@/\",2.5
87,76.jpg,số,"_⁄
⁄g",2.5
144,40.jpg,nở,"_
w—^",2.5
82,68.jpg,cố,"⁄
_
co",2.5
100,49.jpg,và,".
ú 4",2.5
44,68.jpg,và,"-_
ư^",2.5
35,62.jpg,số,"ø~
&o",2.5
81,47.jpg,và,"-_
ao",2.5
5,49.jpg,kể,"7
/
z",2.5
110,42.jpg,vé,"⁄“
ac",2.5
39,11.jpg,vẻ,"j
⁄%g",2.5
105,81.jpg,và,"_
(#6",2.5
32,34.jpg,an,(22⁄4,2.5
101,55.jpg,vẻ,"ọ
vwe_",2.5
99,76.jpg,xe,⁄/⁄va,2.5
109,33.jpg,vì,"-_
`vi",2.5
109,31.jpg,số,"_
“^^",2.5
62,95.jpg,nước,"„.
vp0058/",2.5
123,7.jpg,có,"⁄
ø2)",2.5
34,91.jpg,để,"2
pes",2.5
34,85.jpg,sẽ,"⁄
⁄)€",2.5
100,17.jpg,để,cho í,2.5
16,32.jpg,ói,"—
ø !",2.5
4,7.jpg,có,"ấ
//)",2.5
85,7.jpg,sẽ,"co
1,",2.5
64,75.jpg,50,(7⁄2),2.5
52,49.jpg,án,"⁄
đw)",2.5
40,50.jpg,em,p/⁄5^,2.5
103,86.jpg,cả,"2
ø⁄3",2.5
127,76.jpg,lý,jđàứú,2.5
104,18.jpg,số,"^z
áo",2.5
132,64.jpg,về,"—
w<©",2.5
17,64.jpg,về,".
www",2.5
47,59.jpg,tế,"⁄
ưu,",2.5
5,66.jpg,có,"/
lao",2.5
31,20.jpg,xe,v5. a,2.5
130,99.jpg,ăn,"ø
⁄øl",2.5
39,6.jpg,về,"củ
⁄2",2.5
16,44.jpg,sẽ,"ạð
56",2.5
53,13.jpg,có,"⁄
(>>",2.5
31,71.jpg,án,"⁄
øw^",2.5
145,86.jpg,về,"^
r92",2.5
16,81.jpg,về,"—
“z2",2.5
40,47.jpg,và,"@=
©⁄",2.5
91,100.jpg,về,"_
ưu¿",2.5
98,94.jpg,cổ,"^w
œ2",2.5
112,45.jpg,án,"”
20a",2.5
16,92.jpg,và,"&
p i",2.5
112,43.jpg,có,"l
ưuo",2.5
23,64.jpg,án,"„“
2u",2.5
10,22.jpg,xã,"~⁄
ka",2.5
114,49.jpg,viên,"^—^
êâit⁄⁄r",2.5
30,56.jpg,có,"⁄
| ⁄",2.5
99,64.jpg,có,"<
(ø>",2.5
10,99.jpg,cổ,"~7
lò",2.5
44,100.jpg,hồ,"l
(6)",2.5
124,59.jpg,về,"(
1⁄4",2.5
51,7.jpg,lễ,⁄/⁄yô,2.5
121,19.jpg,và,"„.
ưa",2.5
41,30.jpg,có,"⁄
ec ò",2.5
101,83.jpg,tế,"p1
ýø",2.5
78,38.jpg,về,"__
ưo",2.5
57,68.jpg,xế,"^ ⁄
xo",2.5
150,70.jpg,trực,"-i⁄4⁄
;, é",2.5
28,16.jpg,tế,"x⁄
{e",2.5
40,82.jpg,ói,"é
(61",2.5
99,86.jpg,mà,"_
“^^",2.5
106,80.jpg,ta,-{+>_,2.5
8,77.jpg,xử,"0)
w2",2.5
81,95.jpg,giám,"- v⁄c
ấđ«^",2.5
150,32.jpg,ăn,"(ø
⁄⁄",2.5
122,91.jpg,có,"⁄
so)",2.5
86,67.jpg,có,"⁄
vớ)",2.5
123,12.jpg,có,"⁄“ˆ
c2",2.5
51,19.jpg,ăn,"è«“
ø",2.5
106,86.jpg,và,"_
ưửz",2.5
64,63.jpg,vụ,w} ww,2.5
132,85.jpg,việc,"mà )
vưcz
t",2.5
99,89.jpg,mà,vwwz^,2.5
37,8.jpg,số,"(
&„ð",2.5
134,21.jpg,nỗ,"~%ø
no",2.5
92,51.jpg,có,"⁄
77)",2.5
38,63.jpg,cổ,"^^
cc”",2.5
68,14.jpg,sự,"ôul
⁄",2.5
5,17.jpg,về,"~
vvwe",2.5
76,48.jpg,có,"⁄
(ác",2.5
63,5.jpg,có,"(
(o)",2.5
133,34.jpg,nó,"⁄z
vd",2.5
72,35.jpg,hỗ,"2)
tò",2.5
52,10.jpg,về,"a^
ưu",2.5
41,89.jpg,án,"c—
^^",2.5
56,14.jpg,ra,„ooo_,2.5
77,16.jpg,đã,sa ấn,2.5
55,49.jpg,cá,"/
c_z^",2.5
39,38.jpg,vả,"j
v9co",2.5
21,86.jpg,số,"á(
n2",2.5
29,36.jpg,tỉ,"b)
ai",2.5
113,10.jpg,ói,"/
; ý",2.5
121,44.jpg,và,_⁄“⁄z,2.5
76,90.jpg,mà,"`
vv&",2.5
148,67.jpg,cổ,"⁄
^
co",2.5
24,34.jpg,cổ,"j
(ø)",2.5
39,55.jpg,ầm,"_
1ú)",2.5
25,94.jpg,mở,"2
(aơ",2.5
85,45.jpg,xử,^—<«z,2.5
145,54.jpg,có,"⁄
(9)",2.5
48,86.jpg,có,"\
/⁄,",2.5
144,15.jpg,xã,"_o
k^",2.5
72,47.jpg,có,"2
pp)",2.5
13,62.jpg,khái,"é
vy t(a í",2.5
145,66.jpg,cổ,"lj
(0",2.5
117,98.jpg,xe,óỳ2ọo,2.5
37,1.jpg,sĩ,"~_
,n",2.5
27,7.jpg,và,tu/4`,2.5
108,92.jpg,hà,1#7⁄&,2.5
34,54.jpg,người,"`
/,
2!
“n#ø",2.4
70,36.jpg,các,"/
(2 b6",2.3333
30,79.jpg,cái,"⁄s
0ø ‹",2.3333
69,50.jpg,vào,"&
v⁄⁄ òd",2.3333
83,7.jpg,một,"©
vwa¿é",2.3333
129,64.jpg,cầu,"^`
có. &",2.3333
148,82.jpg,cấp,".”
(€2)",2.3333
55,70.jpg,mưu,wuj)) ^,2.3333
38,13.jpg,cao,(ø2 79),2.3333
129,76.jpg,tội,"ìa
toì
f",2.3333
15,36.jpg,rất,"~}
r-axc",2.3333
82,85.jpg,hẳn,"2
wwe^x",2.3333
59,48.jpg,năm,"—
ẽ^oac",2.3333
84,29.jpg,nam,duưdqcœ,2.3333
100,4.jpg,cảm,"l
c~^~⁄^",2.3333
53,53.jpg,hạn,) t7⁄4o,2.3333
6,29.jpg,nêu,"ˆ^
đ⁄@œ",2.3333
146,53.jpg,máu,"⁄
w\®2w",2.3333
51,1.jpg,nói,"^-
a v)",2.3333
126,44.jpg,mỗi,"~
⁄^^^g",2.3333
78,54.jpg,ngọ,"liềt
1°",2.3333
129,55.jpg,năm,"c
^^ an",2.3333
113,68.jpg,vấn,"„“
vo⁄zé",2.3333
72,6.jpg,với,"á-
96 ị",2.3333
110,48.jpg,huệ,"tr,
vố.",2.3333
121,36.jpg,sửa,"bỏ
06⁄1",2.3333
104,7.jpg,đầu,"=~
_ cụ",2.3333
91,40.jpg,với,"⁄
(s4 +",2.3333
19,23.jpg,với,"⁄cc
töc",2.3333
43,19.jpg,nói,"⁄
⁄az2,",2.3333
110,8.jpg,mỗi,"cơ‹
woo",2.3333
119,16.jpg,dòm,216y⁄⁄à,2.3333
57,78.jpg,mới,"⁄z
w~&t",2.3333
58,3.jpg,mua,wvwa^~.-,2.3333
29,42.jpg,của,"?
cc*⁄24",2.3333
4,42.jpg,một,"n
vao }",2.3333
73,32.jpg,nếu,"— /
77,",2.3333
71,62.jpg,mua,vwaakce_,2.3333
13,44.jpg,năm,"_
z“t^g",2.3333
13,71.jpg,mỗi,"ki
^^
w",2.3333
45,60.jpg,mái,"⁄_
#<=<",2.3333
149,6.jpg,oan,(v/ø #0,2.3333
71,67.jpg,như,——~⁄⁄2.,2.3333
134,86.jpg,đời,"~_
h ¡
i",2.3333
63,95.jpg,sản,"3)
^oo^",2.3333
105,56.jpg,dân,"z^
⁄⁄/)",2.3333
135,83.jpg,rồi,"~
jlo^.",2.3333
76,13.jpg,vào,"^^
„“««",2.3333
49,1.jpg,màu,"_
nwwcơ",2.3333
80,34.jpg,của,"l
(8120",2.3333
77,26.jpg,000,í« 1 ®),2.3333
52,77.jpg,vấn,"⁄
vv⁄2⁄a",2.3333
103,99.jpg,mắt,"(\
vnš1",2.3333
29,75.jpg,xác,"⁄
k^&ícc",2.3333
134,7.jpg,vẫn,"—~—
4q n",2.3333
138,50.jpg,mới,"“4 l
mì",2.3333
92,53.jpg,sắm,"4
ccxima",2.3333
12,72.jpg,món,"⁄
wưưữỡn",2.3333
21,15.jpg,vẫn,"~
^^
voc",2.3333
55,22.jpg,làm,">>.
(on",2.3333
107,5.jpg,lần,"~-
2205",2.3333
19,84.jpg,qua,xi thín,2.3333
10,90.jpg,vừa,⁄0^v⁄2^x,2.3333
81,60.jpg,cần,"_——_
cơm",2.3333
82,4.jpg,nội,"⁄^.
#lơ",2.3333
3,62.jpg,của,"9
co—^cœ",2.3333
86,43.jpg,núi,"⁄c
w.wc",2.3333
107,40.jpg,của,"⁄
c—-w_o",2.3333
7,31.jpg,của,"2
(aa ø.",2.3333
145,53.jpg,mỗi,"~“~—
/⁄",2.3333
60,16.jpg,của,"⁄
(~^'`",2.3333
83,46.jpg,môi,"^^.
à9)",2.3333
99,36.jpg,giá,"_z
4!^-",2.3333
9,31.jpg,cầu,"\
(6/27",2.3333
23,15.jpg,nằm,ywø⁄⁄xn,2.3333
82,26.jpg,khó,1”“⁄/⁄z,2.3333
6,88.jpg,của,"ni
co —~",2.3333
133,92.jpg,năm,"—
crướn",2.3333
3,82.jpg,thầm,a0/⁄42⁄nh,2.25
91,98.jpg,tuấn,"r ~⁄
7⁄5:",2.25
96,72.jpg,giải,"7
—
í ⁄ 1",2.25
130,91.jpg,toán,"⁄ì
“z2 ớđn",2.25
132,72.jpg,ninh,„”w›?+-an,2.25
10,1.jpg,muỗi,"—
~
t©ww-",2.25
33,5.jpg,cuộc,"(7/0767
:",2.25
137,38.jpg,việc,"„ @
w7 kí",2.25
17,54.jpg,khắc,"i
<< y⁄%,",2.25
8,96.jpg,cuối,"”
7/7/00)",2.25
73,100.jpg,hoàn,"/⁄^~~^
..",2.25
111,30.jpg,niệm,"-^
wa⁄aa",2.0
133,86.jpg,mức,"4
íaw c",2.0
127,45.jpg,nạn,⁄c®2⁄2,2.0
1,35.jpg,núi,"á
vu ị",2.0
120,72.jpg,có,"⁄ˆ
cò",2.0
120,40.jpg,đ,2i,2.0
5,1.jpg,lẽ,( c.,2.0
132,78.jpg,số,"c
ád",2.0
36,61.jpg,mà,".
w®",2.0
117,92.jpg,ở,s.,2.0
23,50.jpg,ý,vi,2.0
138,98.jpg,đ,tl,2.0
99,27.jpg,ở,w&,2.0
36,84.jpg,cả,"⁄
ca,",2.0
24,93.jpg,xử,"á
s4",2.0
92,37.jpg,mộ,"“1
m2",2.0
99,30.jpg,có,"á
^^",2.0
111,1.jpg,em,law~,2.0
23,37.jpg,vốn,"⁄^
vw~^",2.0
10,85.jpg,cả,"7
cða",2.0
36,53.jpg,vì,"cc
v3",2.0
36,54.jpg,1,⁄4,2.0
104,5.jpg,của,"2
((ast",2.0
123,48.jpg,hổ,“z8”,2.0
36,48.jpg,tuổi,"mm ⁄ố
há",2.0
99,67.jpg,nh,//lt,2.0
106,39.jpg,tôi,"xh,c^`",2.0
105,43.jpg,xóa,"z⁄
nxúc",2.0
138,6.jpg,và,"-
^j",2.0
18,21.jpg,tác,"/⁄
{4u",2.0
58,20.jpg,cẩn,"~7?
cc",2.0
22,52.jpg,xế,"~
%2",2.0
64,12.jpg,nếu,"~⁄
awlu",2.0
147,84.jpg,số,"⁄
%&",2.0
62,13.jpg,vệ,1⁄22,2.0
140,5.jpg,tất,"øx
144",2.0
9,19.jpg,y,vé,2.0
34,6.jpg,tạm,"[on
lu",2.0
73,42.jpg,vùi,"..
[ba",2.0
31,54.jpg,xứ,"cc
xd",2.0
133,39.jpg,ích,"l ⁄c
cé",2.0
18,33.jpg,sử,"2
tô",2.0
15,26.jpg,1,“_,2.0
1,40.jpg,các,"^^
(25",2.0
48,28.jpg,ve,wwv⁄2,2.0
79,94.jpg,tới,"j
x-.‹",2.0
98,71.jpg,vũ,"=
pa",2.0
31,53.jpg,nói,"⁄
lv w",2.0
117,82.jpg,các,"““
€c^l",2.0
123,67.jpg,điểm,"un
cìww¬",2.0
93,41.jpg,năm,"é
cww—",2.0
28,9.jpg,các,"⁄
(1⁄4",2.0
58,67.jpg,mắn,"“⁄
„nan",2.0
121,90.jpg,số,"v
ác",2.0
120,82.jpg,sẽ,"~
w*",2.0
136,89.jpg,nếu,"~⁄
aaa",2.0
9,57.jpg,giỏ,"- 1
09",2.0
25,67.jpg,000,(l0 1ø),2.0
136,95.jpg,xếp,"& |
mép",2.0
24,86.jpg,có,"|
0ò",2.0
36,80.jpg,cấp,"⁄
ˆ
cơn",2.0
101,67.jpg,của,"?
trúừ",2.0
41,20.jpg,năm,"lơ.
an",2.0
147,53.jpg,mua,wwwaazc,2.0
36,92.jpg,cấu,"(
v⁄⁄⁄",2.0
45,71.jpg,3,2$,2.0
117,71.jpg,có,"|
lò",2.0
64,50.jpg,ái,"cc
đ",2.0
64,39.jpg,có,"⁄
eo",2.0
5,43.jpg,kế,"/
(.",2.0
79,92.jpg,cụ,(aa—,2.0
111,11.jpg,rỏi,"?.
6e!",2.0
65,14.jpg,bờ,"lệ
p",2.0
92,47.jpg,thua,11⁄24⁄2_,2.0
134,93.jpg,việc,".-^a
vư°",2.0
120,95.jpg,có,"⁄
0o",2.0
56,34.jpg,7,“í,2.0
49,86.jpg,với,"w
wjol",2.0
63,90.jpg,có,"ì
cao",2.0
70,63.jpg,ước,"“^ˆ
ồ^",2.0
52,46.jpg,rõ,"~9
2",2.0
149,87.jpg,xế,qaội,2.0
149,76.jpg,1,4],2.0
118,25.jpg,năm,"v
w-t^",2.0
100,51.jpg,mãi,"s
wwoa",2.0
75,41.jpg,ở,s.,2.0
70,66.jpg,bữa,"“
f5 ưa",2.0
63,80.jpg,tổ,"3
+6",2.0
105,99.jpg,của,"2
7/00",2.0
135,46.jpg,g,ớœ,2.0
148,35.jpg,uốn,"= ⁄
lm",2.0
143,14.jpg,sở,"?
đổ",2.0
33,3.jpg,3,"k,",2.0
66,75.jpg,có,"⁄
(@",2.0
148,32.jpg,án,"(
ơa",2.0
74,48.jpg,xác,"ccˆ
xơ",2.0
63,28.jpg,nối,"_l
aứý",2.0
6,25.jpg,như,(0/222,2.0
84,60.jpg,đó,"⁄
cc",2.0
105,58.jpg,000,lon910),2.0
48,62.jpg,món,on ơ^~,2.0
140,93.jpg,ở,")
ở",2.0
35,97.jpg,xã,"_
^^",2.0
56,96.jpg,với,"⁄
12vð",2.0
36,40.jpg,ước,"»
a8^_",2.0
147,25.jpg,vấn,"so
í/)",2.0
96,39.jpg,và,"„.
^",2.0
67,43.jpg,sở,"2
cú",2.0
84,15.jpg,cứ,"/
vi",2.0
84,11.jpg,cá,"⁄
c⁄_",2.0
149,79.jpg,vốn,"~⁄
/⁄w",2.0
148,40.jpg,của,"//
cia^~",2.0
96,45.jpg,2,0u,2.0
73,12.jpg,của,")
ca ø-",2.0
96,47.jpg,tịch,`. nguýn,2.0
66,98.jpg,ai,øœ%\,2.0
133,15.jpg,là,/⁄⁄4,2.0
62,37.jpg,cứu,"/
5/0)",2.0
49,18.jpg,nước,"sĩ
yvwas",2.0
121,85.jpg,ai,"⁄/7,",2.0
143,20.jpg,các,"⁄
(0/2",2.0
113,81.jpg,để,"j!
ặ",2.0
74,49.jpg,néon,"`
vizoowv",2.0
85,20.jpg,nổi,"2
a.o⁄",2.0
96,64.jpg,ở,0),2.0
78,72.jpg,việc,". lai
vi ø",2.0
148,46.jpg,họ,t1øo,2.0
83,84.jpg,tám,"_—⁄
\am",2.0
6,3.jpg,mỗi,"w
yvy&",2.0
150,9.jpg,cậu,"c w&
^^",2.0
83,80.jpg,về,".n
vu",2.0
63,69.jpg,quay,c2 2 54.,2.0
25,34.jpg,có,"g”
cò",2.0
37,81.jpg,rẻ,"?
(2",2.0
74,56.jpg,con,⁄⁄224|,2.0
63,65.jpg,sĩ,"cc
g",2.0
37,56.jpg,ấy,"_“
_",2.0
98,6.jpg,cứ,"4
6á",2.0
119,4.jpg,với,"vvˆ
(8a",2.0
71,19.jpg,cả,"2
co,",2.0
73,20.jpg,tìm,"_
.
vv",2.0
135,1.jpg,vào,"—_—
w^o",2.0
6,61.jpg,mà,"—
^^",2.0
25,84.jpg,xã,"vv
xo",2.0
97,64.jpg,rõ,"~
z~",2.0
