folder,image,ground_truth,prediction,cer_score
93,57.jpg,đấy,$ \mathrm {d} \hat {a} ^ {\prime} y $,12.0
141,83.jpg,để,$ \frac {1}{2} e ^ {2} $,12.0
70,42.jpg,để,$ \frac {1}{2} e ^ {2} $,12.0
59,14.jpg,về,$ v_{\mathrm{e}}^{\sim} $,12.0
75,24.jpg,tốt,+ $ \overrightarrow {o} ^ {\prime} $,11.6667
109,42.jpg,về,v $\overline{\tilde{e}}$,11.5
109,13.jpg,sẽ,$ \mathrm{s e}^{ \sim} $,11.5
44,30.jpg,sở,$ \mathrm {8 3} ^ {2} $,11.5
94,57.jpg,tổ,$ t \tilde{\sigma}^{2} $,11.5
129,6.jpg,tế,$ \pi_{\mathrm{e}}^{2} $,11.5
83,16.jpg,đó,$ \theta_{0}^{\prime} $,11.5
46,34.jpg,đã,$ \frac {1}{2} a \sim $,11.5
147,45.jpg,tổ,$ - 1 \hat{\delta}^{2} $,11.5
85,45.jpg,xử,$ \mathrm {n c i}^{2} $,11.5
112,77.jpg,là,$ \vert \bar{a} \vert $,11.5
139,96.jpg,số,$ \delta \hat {o}^{1} $,11.5
148,42.jpg,để,$ c t \mathrm {e}^{2} $,11.5
92,100.jpg,đã,$ \mathrm {d} t a^{2} $,11.5
11,55.jpg,nhà,1. $ \mathrm {l r} 2 \mathrm {a} $,11.0
65,49.jpg,đối,$ \frac {1}{d} \hat {o}_{c}^{'} $,11.0
34,61.jpg,số,$ \hat{v} ^ {\prime} $,11.0
39,74.jpg,đi,$ \mathrm {d i} ^ {2} $,11.0
104,70.jpg,nỗ,$ \tilde{n \tilde{o}} $,11.0
3,41.jpg,số,$ \overrightarrow{so} $,11.0
72,99.jpg,đã,$ \frac {1}{d} a^{2} $,11.0
107,94.jpg,tờ,$ + \mathrm {o} ^ {-} $,11.0
106,9.jpg,đã,$ \frac {1}{d} a^{2} $,11.0
22,33.jpg,đã,$ \frac {1}{2} a^{2} $,11.0
107,70.jpg,đảo,$ \mathrm {d} \mathrm {a} 0^{2} $,11.0
17,32.jpg,đã,$ \frac {1}{2} a^{2} $,11.0
57,82.jpg,đã,$ \frac {1}{2} a^{2} $,11.0
23,10.jpg,để,$ \frac {1}{2} c^{2} $,11.0
58,96.jpg,đã,$ \frac{1}{2} t_{9} $,10.5
45,87.jpg,ói,$ \frac { 1 } { 6 } $,10.5
38,77.jpg,mà,m $ \overline{{{a}}} $,10.5
120,73.jpg,là,l $ \overline{{{r}}} $,10.5
17,82.jpg,số,$ \mathrm {o} ^ {2} $,10.5
27,15.jpg,sở,$ s _ {3} ^ {\prime} $,10.5
8,27.jpg,để,$ \mathrm{j e}^{-2} $,10.5
114,93.jpg,được,$ \mathrm {t r i} ^ {2} \mathrm {c} ^ {2} $,10.5
64,42.jpg,vì,$ \overline{{{v i}}} $,10.5
133,42.jpg,sở,$ \delta \theta^{2} $,10.5
70,49.jpg,đề,$ \frac{1}{2} c^{2} $,10.5
34,85.jpg,sẽ,$ \mathrm {e} ^ {0} $,10.5
13,4.jpg,bè,b $ \overline{{{e}}} $,10.5
142,48.jpg,về,$ v_{\mathrm{e}}^{2} $,10.5
131,8.jpg,kế,$ k_{\mathrm{o}}^{1} $,10.5
85,65.jpg,sự,$ \mathrm {或} ^ {2} $,10.5
123,63.jpg,gà,g $ \overline{{{a}}} $,10.5
110,91.jpg,để,$ \mathrm {t e}^{2} $,10.5
131,39.jpg,số,$ s _ {0} ^ {\prime} $,10.5
74,21.jpg,đổ,$ \hat {d} \hat {b} $,10.5
106,4.jpg,bé,be $ \overline{{{}}} $,10.5
78,98.jpg,số,$ \delta o^{\prime} $,10.5
114,29.jpg,đã,$ \mathrm {d} a^{2} $,10.5
37,14.jpg,số,$ s \hat{o}^{\prime} $,10.5
24,1.jpg,về,$ v_{\mathrm{e}}^{-} $,10.5
51,7.jpg,lễ,$ l_{\hat{e}}^{\sim} $,10.5
80,36.jpg,bè,be $ \mathrm {e}^{-} $,10.5
16,63.jpg,và,v $ \overline{{{a}}} $,10.5
127,19.jpg,sẽ,$ \delta \tilde {e} $,10.5
73,87.jpg,vì,v $ \overline{{{v}}} $,10.5
73,3.jpg,đã,$ d\tilde{a}^{\sim} $,10.5
13,43.jpg,đã,$ \frac{1}{d} a^{-} $,10.5
49,40.jpg,lỗi,"$$
\angle \hat {o} 1 ^ {\circ}
$$",10.3333
78,66.jpg,hồi,$ r _ { o _ { 2 } } ^ { 2 - } $,10.3333
45,88.jpg,được,$ \mathrm{d} u \mathrm{b}^{2} \mathrm{c} $,10.25
72,22.jpg,được,$ \mathrm {a u} ^ {\prime} \mathrm {d c} $,10.25
13,40.jpg,có,$ \mathrm {c o}^{-} $,10.0
136,81.jpg,sẽ,$ \mathrm {s e}^{2} $,10.0
98,89.jpg,từ,$ \mathrm {t u}^{2} $,10.0
120,93.jpg,về,v $\hat{\varepsilon}$,10.0
63,74.jpg,có,$ \mathrm {c o}^{1} $,10.0
63,8.jpg,về,$ v\hat{e}^{\prime} $,10.0
53,33.jpg,sẽ,$ s \mathrm {e}^{-} $,10.0
38,63.jpg,cổ,$ \mathrm{c o}^{2-} $,10.0
80,70.jpg,từ,$ \mathrm {t u}^{3} $,10.0
74,41.jpg,từ,$ t \bar{u}^{\circ} $,10.0
104,49.jpg,là,$ \mathrm {l a}^{-} $,10.0
9,62.jpg,đốc,$ \frac {1}{c} c ^ {\prime} c $,10.0
60,96.jpg,có,$ \mathrm {c o}^{-} $,10.0
78,76.jpg,cơ,$ \mathrm {c o}^{2} $,10.0
130,52.jpg,số,$ s \delta^{\prime} $,10.0
132,71.jpg,có,$ \mathrm {c o}^{-} $,10.0
40,53.jpg,cổ,$ \mathrm{c o}^{2-} $,10.0
7,16.jpg,để,$ \mathrm{d} e^{2} $,10.0
7,9.jpg,lẽ,$ \mathrm{c e}^{2} $,10.0
101,16.jpg,hợp,$ \mathrm{h o}_{3} \mathrm{p} $,9.6667
41,54.jpg,đất,$ \hat{a} ^ {\prime} \hat{a} $,9.6667
62,10.jpg,đã,$ \mathrm {d t a} $,9.5
136,57.jpg,cả,$ \mathrm{c a}^{9} $,9.5
144,56.jpg,tử,$ \sqrt{c_{i}^{2}} $,9.5
6,60.jpg,về,$ v\widehat{e}^{'} $,9.5
28,16.jpg,tế,$ 1 e^{^{\prime}} $,9.5
10,80.jpg,để,$ d \tilde{e}^{2} $,9.5
140,4.jpg,sĩ,$ \mathrm{s i}^{a} $,9.5
8,10.jpg,tuổi,t<sub>1</sub> <sub>1</sub> <sub>0</sub> i,9.5
99,22.jpg,là,$ \mid a^{\prime} $,9.5
108,59.jpg,là,l $ \overline{{a}} $,9.5
32,66.jpg,cổ,$ \mathrm{c o}^{2} $,9.5
73,89.jpg,lã,$ \mathrm {a}^{2} $,9.5
60,95.jpg,cổ,$ \mathrm{c o}^{2} $,9.5
124,62.jpg,có,$ \mathrm{c o}^{1} $,9.5
80,37.jpg,sẽ,$ \mathrm{s e}^{-} $,9.5
5,4.jpg,là,l $ \overline{{a}} $,9.5
65,73.jpg,khủng khiếp nhất là lượng đất đá này đã trôi trượt trên một đoạn,khuong blevi nhat liet lening dau kao oai theri thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao thao,9.4688
70,5.jpg,rất,$ \mathrm {a e} ^ {\dagger} $,9.3333
43,37.jpg,đời,$ \frac{1}{2} d \delta^{-} $,9.3333
64,100.jpg,sự,$ s _ { u ^ { 2}} $,9.0
2,33.jpg,ở,$ b^{7} $,9.0
146,88.jpg,vũ,$ v_{u}^{^{\sim}} $,9.0
87,76.jpg,số,$ 8 \frac {1}{0} $,9.0
136,98.jpg,rõ,$ r \tilde{o}^{2} $,9.0
70,13.jpg,ở,$ 9^{9} $,9.0
53,90.jpg,về,$ \vec{v} \hat{e} $,9.0
68,84.jpg,về,$ v_{\hat{e}}^{1} $,9.0
41,31.jpg,cổ,$ \tilde{c o}^{2} $,9.0
19,18.jpg,tế,-1 $ \frac{1}{x} $,9.0
144,80.jpg,cố,$ 0 0 ^ {\prime} $,9.0
75,8.jpg,tế,$d\hat{e}^{\prime}$,9.0
75,41.jpg,ở,$ d^{7} $,9.0
92,27.jpg,số,$ \delta \hat{0} $,9.0
140,67.jpg,từ,$ f u \bar { d } $,9.0
35,87.jpg,số,$ 8 8 ^ {\prime} $,9.0
132,78.jpg,số,$ 1 0 ^ {\prime} $,9.0
40,22.jpg,rất,$ \hat{m} \hat{a}^{\prime} $,9.0
122,72.jpg,ở,$ 2^{7} $,9.0
42,41.jpg,tờ,加 $ 2 ^ {\prime} $,9.0
93,51.jpg,ở,$ 0^{2} $,9.0
148,68.jpg,ở,$ 8^{7} $,9.0
111,54.jpg,ở,$ 3^{7} $,9.0
62,45.jpg,về,$ \sqrt{\hat{e}} $,9.0
100,20.jpg,ở,$ 3^{3} $,9.0
53,23.jpg,đó,$ r_{0}^{\prime} $,9.0
91,100.jpg,về,$ v_{\hat{e}}^{'} $,9.0
15,20.jpg,vừa,$ \overline {{0 u _ {9}}} $,8.6667
37,38.jpg,đất,$ \mathrm{d} x^{\prime 1} $,8.6667
122,9.jpg,tưởng,$ \mathrm {对} \mathrm {d} ^ {2} \mathrm {g} $,8.6
145,39.jpg,xử,$ \lambda u^{2} $,8.5
39,13.jpg,có,$ c_{0}^{\prime} $,8.5
108,76.jpg,số,$ 8 \hat{0}^{1} $,8.5
10,99.jpg,cổ,$ l \hat{o}^{2} $,8.5
110,2.jpg,để,$ d \hat{e}^{2} $,8.5
37,25.jpg,để,$ t \hat{e}^{2} $,8.5
128,25.jpg,sẽ,$ \mathrm {j e} $,8.5
62,51.jpg,về,$ v \overline{e} $,8.5
115,10.jpg,vỡ,$ v_{0}^{3} \sim $,8.5
145,66.jpg,cổ,$ \hat{c o}^{^2} $,8.5
62,96.jpg,về,$ v \bar{e}^{-1} $,8.5
110,81.jpg,tờ,$ \tau_{\vec{8}} $,8.5
57,4.jpg,bà,$ b \overline{a} $,8.5
104,42.jpg,số,$ 8 \hat{o}^{'} $,8.5
90,83.jpg,bà,b $ \overline{q} $,8.5
101,17.jpg,đỏ,$ s \hat{o}^{2} $,8.5
85,83.jpg,ông,$ \overset{\frown}{o n g} $,8.3333
119,93.jpg,vật,vat $ \mathrm {v a t}^{1} $,8.3333
36,42.jpg,tôi,( $ \overrightarrow{a} $ ),8.3333
115,54.jpg,đôi,$ \mathrm {d o r} ^ {2} $,8.3333
20,64.jpg,ráng,$ \alpha \mathrm {或} \mathrm {g} $,8.0
38,10.jpg,sĩ,$ \delta c^{2} $,8.0
69,99.jpg,số,$ s \hat{o}^{'} $,8.0
6,49.jpg,về,v $ \hat{i}^{-} $,8.0
37,8.jpg,số,$ s \hat{o}^{'} $,8.0
73,67.jpg,phố,ph $ \overrightarrow{o} '$,8.0
32,48.jpg,cấp,$ c_{\hat{a} p}^{\prime} $,8.0
124,74.jpg,vì,$ \sqrt{i}^{-} $,8.0
101,42.jpg,lã,$ \mathrm {l a} $,8.0
23,68.jpg,tốt,$ \overrightarrow{o t} ' $,8.0
23,98.jpg,cố,$ \delta s^{1} $,8.0
70,34.jpg,sở,$ s _ {0} ^ {2} $,8.0
118,83.jpg,về,$ v \bar{e}^{-} $,8.0
37,40.jpg,sở,$ \delta i^{2} $,8.0
102,83.jpg,tổ,$ \sqrt{10^{2}} $,8.0
28,91.jpg,sự,$ \mathrm {s w} $,8.0
1,82.jpg,tổ,$ t \hat{o}^{2} $,8.0
5,49.jpg,kể,$ k \vec{e}^{'} $,8.0
33,45.jpg,từ,大 $ \sqrt[2]{2} $,8.0
99,38.jpg,lễ,$ l e^{^{\sim}} $,8.0
135,31.jpg,về,$ v \bar{e}^{-} $,8.0
72,35.jpg,hỗ,$ h \hat{o}^{2} $,8.0
137,13.jpg,về,$ v \hat{c}^{-} $,8.0
110,34.jpg,trượt,$ \mathrm {t r u} _ {2} \mathrm {o} ^ {7} $,8.0
96,28.jpg,rất,$ \pi \bar{a}^{\prime}+ $,8.0
18,5.jpg,từ,$ t \bar{u}^{2} $,8.0
68,10.jpg,đã,$ \tilde {d a} $,8.0
63,80.jpg,tổ,$ t \hat{o}^{2} $,8.0
143,9.jpg,sửa,$ \mathrm {s i c} ^ {2} $,8.0
84,5.jpg,đã,$ \frac {1}{a} $,8.0
123,12.jpg,có,$ \mathrm {c o} $,8.0
103,51.jpg,âm,$ \tilde{a}_{m} $,8.0
12,98.jpg,là,$ l\overline{q} $,8.0
77,51.jpg,và,$ \sqrt{c_{0}} $,8.0
93,44.jpg,và,v $ \widehat{a} $,8.0
93,61.jpg,từ,$ t \bar{u}^{2} $,8.0
80,52.jpg,lớn,$ \overrightarrow{o m} $,8.0
88,78.jpg,đối,to $ \mathrm {o} ^ {?} $,8.0
126,95.jpg,với,$ \overrightarrow{s_{i}} $,8.0
49,81.jpg,có,( $ o^{\prime} $,8.0
116,46.jpg,cấp,c $ \hat{\delta} \hat{p} $,8.0
36,78.jpg,sêrêpôk,$ \hat{s} \hat{c} \hat{r} \hat{e} \hat{p} \hat{o} \hat{k} $,7.8571
41,74.jpg,ông,$ \hat{\mathrm{n}}_{y} $,7.6667
114,23.jpg,bất,b $ \hat{a} $ $ \hat{a} $,7.6667
131,33.jpg,lẩu,$ \overrightarrow{a u} $,7.6667
99,50.jpg,vắn,$ \int\limits_{v_{co}} $,7.6667
93,75.jpg,đầu,$ d_{\mathrm{au}}^{^-} $,7.6667
91,41.jpg,kế,$ k\hat{c}^{1} $,7.5
132,99.jpg,để,$at\hat{e}^{7}$,7.5
3,79.jpg,sẽ,$ b \tilde{e} $,7.5
10,74.jpg,tổ,$ t \delta^{7} $,7.5
51,47.jpg,tố,to $ ^{\prime} $,7.5
64,27.jpg,tố,$ 1 0 ^ {- 1} $,7.5
114,42.jpg,nỗ,$ n \delta^{~} $,7.5
29,37.jpg,đã,$ d a^{\surd} $,7.5
71,95.jpg,đã,$ d \tilde{a} $,7.5
41,92.jpg,bộ,r. $ \dot {0} $,7.5
27,7.jpg,và,$ v a^{\prime} $,7.5
138,21.jpg,và,$ v a^{\prime} $,7.5
73,26.jpg,sẽ,$ 8 0 ^ { 2 } $,7.5
59,11.jpg,có,$ c o^{\prime} $,7.5
87,12.jpg,tổ,$ 1 0 ^ {- 5} $,7.5
89,57.jpg,đã,d $ \check{a} $,7.5
118,96.jpg,số,$ s s^{\prime} $,7.5
96,38.jpg,đề,d $\hat{e}^{-}$,7.5
127,67.jpg,có,$ c o^{\prime} $,7.5
76,9.jpg,số,$ \widehat{so} $,7.5
59,43.jpg,và,$ v a^{\prime} $,7.5
144,40.jpg,nở,$ 2 0 ^ {- 1} $,7.5
93,27.jpg,bổ,$ b \div 2^{2} $,7.5
49,25.jpg,với,$ \vee \theta^{\prime} $,7.3333
116,80.jpg,đỗi,$ \mathrm {d i s}^{c} $,7.3333
60,33.jpg,giờ,qi $ \overline{{{b}}} $,7.3333
25,86.jpg,tái,$ \mathrm {t u u}^{1} $,7.3333
87,89.jpg,tuổi,$ \mathrm {t u o i} ^ {\prime} $,7.25
31,11.jpg,mặt,$ m \frac { a } { t } $,7.0
95,91.jpg,lễ,l $ \tilde{c} $,7.0
69,70.jpg,là,$ l_{\bar{a}} $,7.0
10,3.jpg,tổ,$ t o ^ { 2 } $,7.0
3,77.jpg,xã,x $ \tilde{a} $,7.0
22,92.jpg,bà,ba $ \bar {a} $,7.0
22,87.jpg,đồ,$ \hat {t o} $,7.0
142,75.jpg,từ,$ \sqrt {2 9} $,7.0
114,38.jpg,từ,+ $ \sqrt {2} $,7.0
52,45.jpg,vực,$ \mathrm {v u^{9} c} $,7.0
78,87.jpg,trả,$ \mathrm {t r} a^{2} $,7.0
35,20.jpg,xã,$ x \tilde{a} $,7.0
46,11.jpg,phố,ph $ \hat{o}^{\prime} $,7.0
2,45.jpg,đất,d $ \frac {1}{2} a t $,7.0
116,23.jpg,đã,$ d a^{\vee} $,7.0
103,71.jpg,sắp,$ s _ { a p } ^ { v } $,7.0
5,1.jpg,lẽ,$ \tilde{l e} $,7.0
13,37.jpg,mấy,$ m \widehat{a} y^{'} $,7.0
42,66.jpg,từ,+ $ \sqrt {2} $,7.0
124,60.jpg,giờ,gi $ \overline{{{d}}} $,7.0
86,13.jpg,vì,$ \sqrt[]{i} $,7.0
97,37.jpg,gỡ,$ g \tilde{8} $,7.0
103,42.jpg,là,$ a^{\prime} $,7.0
85,54.jpg,âm,$ \hat{a}_{m} $,7.0
8,26.jpg,sắt,rat $ \overset{1}{at} $,7.0
36,19.jpg,tờ,to $ \sqrt{3} $,7.0
119,95.jpg,và,$ \sqrt[]{a} $,7.0
105,1.jpg,bốn,b $ \bar{o}_{9}^{'} $,6.6667
77,1.jpg,nhà,n1h $ \overline{{a}} $,6.6667
35,86.jpg,lớn,$ l o n ^ {\prime 2} $,6.6667
22,69.jpg,ôtô,$ \hat{o} + \hat{c} $,6.6667
59,37.jpg,cấp,e $ \hat{a} \hat{p} $,6.6667
119,29.jpg,mất,m $ \hat{a}^{\prime} $,6.6667
91,24.jpg,phố,ph $ \delta^{\prime} $,6.6667
52,10.jpg,về,u e $ ^{i-} $,6.5
1,57.jpg,để,$ a t e^{2} $,6.5
26,97.jpg,lở,$ p_{3}^{3} $,6.5
106,17.jpg,tờ,， $ \sqrt{8} $,6.5
106,68.jpg,bờ,$ \sqrt {2} $,6.5
102,67.jpg,là,$ l_{av}^{-} $,6.5
77,58.jpg,và,$ \sqrt {c} $,6.5
131,99.jpg,sở,$ 1 0 ^ {2} $,6.5
55,7.jpg,nở,$ n^{\prime} $,6.5
91,27.jpg,dã,$ d\tilde{a} $,6.5
31,8.jpg,và,$ \sqrt {a} $,6.5
96,12.jpg,và,$ \sqrt {a} $,6.5
145,57.jpg,đã,$ o t a^{2} $,6.5
133,68.jpg,bộ,10 $ \delta $,6.5
133,94.jpg,về,$ v e^{^{-}} $,6.5
30,69.jpg,sơ,$ f ^ { 3 } $,6.5
71,41.jpg,và,$ \sqrt {a} $,6.5
98,80.jpg,lũ,$ \tilde{lu} $,6.5
98,70.jpg,cố,$ c_{0}^{-1} $,6.5
95,46.jpg,tờ,to $ \dot{2} $,6.5
14,38.jpg,sự,$ m ^ { 9 } $,6.5
112,98.jpg,là,$ c_{a}^{-} $,6.5
4,34.jpg,và,$ \sqrt {a} $,6.5
110,60.jpg,và,$ \sqrt {o} $,6.5
111,39.jpg,và,$ \sqrt {a} $,6.5
85,50.jpg,và,$ \sqrt {a} $,6.5
122,20.jpg,để,$ y_{2}^{2} $,6.5
53,35.jpg,đã,$ \tilde{a} $,6.5
7,72.jpg,từ,$ \tau u^{2} $,6.5
72,5.jpg,tiếp,$ \pi i \hat{e} p^{\prime} $,6.5
110,59.jpg,bộ,$ b \delta . $,6.5
60,48.jpg,có,$e^{\prime}o$,6.5
44,68.jpg,và,$ c_{n}^{7} $,6.5
63,78.jpg,sở,$ 1 0 ^ {2} $,6.5
50,70.jpg,từ,$ n \bar{i} $,6.5
115,7.jpg,và,$ \sqrt {a} $,6.5
12,20.jpg,tế,-1 $ \hat{e} $,6.5
38,78.jpg,sở,$ s b ^ { 2} $,6.5
5,43.jpg,kế,$ k_{e}^{-1} $,6.5
45,96.jpg,xã,$ x a^{\sim} $,6.5
82,13.jpg,sẽ,$ s\tilde{e} $,6.5
16,49.jpg,từ,为 $ \vec{v} $,6.5
86,45.jpg,sĩ,$ s_{1} \sim $,6.5
74,34.jpg,"nằm trong biên chế được duyệt. "" đừng ngại "" - thứ trưởng võ trấn an. "" thỏa","hàm trong biên chải được duyệt. ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 trái an. ""thoa""
        ""đừng nyai"" - thứ trụy v5 tr",6.4868
134,74.jpg,quả,91. $ 9 1 = ^ {2} $,6.3333
7,39.jpg,phờ,$ 0 h \overline{8} $,6.3333
30,72.jpg,sắp,$ \mathrm {s c a p} $,6.3333
92,15.jpg,hòa,$ 1 0 \frac {1}{9} $,6.3333
37,27.jpg,ông,$ 0 \widehat {n} q $,6.3333
100,12.jpg,một,如 $ \hat{m} \hat{f} $,6.3333
56,19.jpg,hải,1 ) $ 2 n^{\prime} $,6.3333
58,55.jpg,tuổi,$ \mathrm {t i o r} ^ {2} $,6.25
140,10.jpg,được,$ a u ^ { 2 } o ^ { 2 } $,6.25
39,91.jpg,là,l $ \bar{a} $,6.0
13,30.jpg,cả,$ c_{x}^{2} $,6.0
