folder,image,ground_truth,prediction,cer_score,confidence
51,87.jpg,lộ,2s.,1.5,0.6146
32,78.jpg,bỏ,to?,1.5,0.4231
125,56.jpg,đô,cha,1.5,0.6934
140,96.jpg,đã,ald,1.5,0.4464
1,69.jpg,kể,he?,1.5,0.8371
14,71.jpg,kỷ,lay,1.5,0.5167
87,15.jpg,để,dc',1.5,0.7429
66,67.jpg,đã,cla,1.5,0.6839
130,22.jpg,đổ,ato,1.5,0.5967
56,62.jpg,tỉ,4i',1.5,0.7256
35,37.jpg,tổ,48?,1.5,0.3464
40,64.jpg,đề,tt`,1.5,0.504
123,48.jpg,hổ,le2,1.5,0.31
5,49.jpg,kể,hs',1.5,0.5975
110,42.jpg,vé,nee,1.5,0.7194
95,80.jpg,kể,hor,1.5,0.6438
80,1.jpg,có,lo',1.5,0.5159
23,90.jpg,ký,huy,1.5,0.4302
23,72.jpg,đã,ata,1.5,0.4647
101,52.jpg,kế,he',1.5,0.3152
25,11.jpg,đó,dhe,1.5,0.3794
108,36.jpg,số,561,1.5,0.4841
101,17.jpg,đỏ,s82,1.5,0.332
105,67.jpg,bộ,jre,1.5,0.5553
52,60.jpg,vụ,194,1.5,0.6704
50,1.jpg,hồ,118,1.5,0.8757
39,24.jpg,đi,at:,1.5,0.4498
57,12.jpg,mỹ,ruy,1.5,0.4294
143,2.jpg,và,ual,1.5,0.6318
28,17.jpg,đã,the,1.5,0.51
149,19.jpg,sự,au2,1.5,0.4433
28,57.jpg,bố,6;',1.5,0.357
94,88.jpg,đá,au',1.5,0.4309
29,74.jpg,xã,lor,1.5,0.5593
67,2.jpg,đổ,ato,1.5,0.5923
100,25.jpg,bị,loi,1.5,0.7551
57,39.jpg,đả,ott,1.5,0.9147
108,76.jpg,số,86',1.5,0.4099
11,36.jpg,dưới,cht 8:,1.5,0.698
119,28.jpg,đã,dur,1.5,0.6869
145,58.jpg,bị,loi,1.5,0.624
3,7.jpg,đã,ota,1.5,0.886
90,60.jpg,ra,&cc,1.5,0.5452
100,80.jpg,và,ara,1.5,0.7052
111,45.jpg,đã,ata,1.5,0.6514
112,44.jpg,đã,dla,1.5,0.4883
90,28.jpg,độ,tla,1.5,0.2783
1,57.jpg,để,all,1.5,0.3613
13,3.jpg,đồ,c15,1.5,0.2809
90,31.jpg,kỳ,lei,1.5,0.7668
46,82.jpg,đã,dta,1.5,0.6665
18,68.jpg,gỗ,ap?,1.5,0.4398
17,11.jpg,về,lel,1.5,0.2115
72,67.jpg,ký,fay,1.5,0.6703
20,96.jpg,tổ,+3',1.5,0.4349
22,87.jpg,đồ,oto,1.5,0.8106
116,39.jpg,đầu,atar,1.3333,0.5693
26,82.jpg,anh,otal,1.3333,0.6713
142,85.jpg,hải,mans,1.3333,0.6082
30,66.jpg,đến,terr,1.3333,0.6547
90,84.jpg,bốn,loer,1.3333,0.2008
60,17.jpg,trí,dni',1.3333,0.5995
111,92.jpg,khi,nelr,1.3333,0.436
144,8.jpg,đây,atcay,1.3333,0.5431
78,22.jpg,bếp,4-20,1.3333,0.5065
14,86.jpg,đến,ate.,1.3333,0.6096
146,18.jpg,thì,feui,1.3333,0.6814
85,90.jpg,tại,f or,1.3333,0.6383
39,42.jpg,đào,otas,1.3333,0.6865
19,79.jpg,đại,dlas,1.3333,0.5924
38,65.jpg,đưa,ttiu,1.3333,0.6881
145,87.jpg,đại,fcu',1.3333,0.7255
110,66.jpg,đến,ater,1.3333,0.7643
1,92.jpg,đối,it's,1.3333,0.3751
55,6.jpg,lại,karl,1.3333,0.546
126,49.jpg,chứ,olu;,1.3333,0.5569
78,92.jpg,đọc,dtor,1.3333,0.7573
78,33.jpg,đức,phu'c,1.3333,0.5467
131,83.jpg,của,en'n,1.3333,0.6961
95,24.jpg,tạm,tauno,1.3333,0.7018
101,12.jpg,đầu,dtaw,1.3333,0.6207
14,1.jpg,bếp,e-et,1.3333,0.48
139,6.jpg,đời,olsr,1.3333,0.7356
48,16.jpg,nếu,h&'w,1.3333,0.625
28,56.jpg,200,q 6o,1.3333,0.6932
29,8.jpg,bạn,laeun,1.3333,0.6828
11,55.jpg,nhà,idra,1.3333,0.6992
125,1.jpg,bán,2-cm,1.3333,0.6288
64,71.jpg,món,h ow,1.3333,0.7335
92,58.jpg,bao,cozuo,1.3333,0.646
2,89.jpg,thứ,hus',1.3333,0.3158
127,81.jpg,dài,clar,1.3333,0.678
93,29.jpg,dõi,oloy,1.3333,0.693
25,88.jpg,đưa,tri'a,1.3333,0.811
3,8.jpg,đấu,tail,1.3333,0.8272
121,38.jpg,đợi,ctdy,1.3333,0.5888
41,95.jpg,dịp,cliyp,1.3333,0.6977
142,52.jpg,địa,cth'a,1.3333,0.6678
127,21.jpg,bảo,. bq,1.3333,0.7767
21,85.jpg,bãi,lsu:,1.3333,0.2891
69,62.jpg,làm,lairv,1.3333,0.4813
99,92.jpg,đảm,cloum,1.3333,0.6043
28,14.jpg,khi,iclu,1.3333,0.7066
73,61.jpg,nơi,mite,1.3333,0.6383
147,80.jpg,năm,20v3,1.3333,0.8492
90,6.jpg,đảo,da'd,1.3333,0.6533
139,95.jpg,kia,lsvin,1.3333,0.6609
87,81.jpg,nơi,'nos',1.3333,0.7845
89,17.jpg,đưa,fu't,1.3333,0.7132
56,35.jpg,tức,due',1.3333,0.6847
137,76.jpg,đói,hhat,1.3333,0.7587
118,37.jpg,đầu,cton,1.3333,0.775
145,51.jpg,kêu,leen,1.3333,0.6141
84,40.jpg,vào,necro,1.3333,0.755
92,30.jpg,bất,haim,1.3333,0.8399
85,5.jpg,kết,lacat,1.3333,0.4712
50,31.jpg,bàn,croun,1.3333,0.5106
127,10.jpg,đốc,tot',1.3333,0.6445
118,15.jpg,đầu,t&ct,1.3333,0.9289
96,14.jpg,dân,olam,1.3333,0.6448
32,74.jpg,đến,cten-,1.3333,0.9261
114,79.jpg,hầm,koin,1.3333,0.4408
111,10.jpg,đón,afor,1.3333,0.4446
112,72.jpg,ủng,mimq,1.3333,0.6311
64,80.jpg,cán,towr,1.3333,0.4896
27,8.jpg,của,. aua,1.3333,0.7216
65,50.jpg,đòi,ater,1.3333,0.5317
104,10.jpg,kết,lee't,1.3333,0.7956
46,45.jpg,ngơ,heyb,1.3333,0.5549
1,83.jpg,dâm,chtn,1.3333,0.6894
143,58.jpg,báo,lras,1.3333,0.6288
42,87.jpg,kết,thef,1.3333,0.4274
31,98.jpg,díu,out',1.3333,0.5115
23,77.jpg,thì,feus,1.3333,0.898
37,42.jpg,đầu,atoa,1.3333,0.4468
130,69.jpg,000,o 6o,1.3333,0.8181
121,53.jpg,ngủ,myn',1.3333,0.6173
97,47.jpg,đến,der.,1.3333,0.6495
81,22.jpg,đặt,dtar,1.3333,0.7538
72,43.jpg,lại,dar',1.3333,0.6407
14,64.jpg,dám,ola'm,1.3333,0.8261
54,71.jpg,khả,1thai,1.3333,0.6817
60,47.jpg,gồm,qoun,1.3333,0.5804
90,71.jpg,sáu,/hmm,1.3333,0.5975
76,92.jpg,bạn,"lar,",1.3333,0.697
130,25.jpg,thú,flur,1.3333,0.7028
31,58.jpg,đặc,itae,1.3333,0.7164
34,6.jpg,tạm,toure,1.3333,0.7076
91,24.jpg,phố,plus',1.3333,0.7006
45,70.jpg,ảnh,ailn,1.3333,0.658
57,18.jpg,đến,ater,1.3333,0.7528
47,8.jpg,bảy,/3auy,1.3333,0.5948
123,58.jpg,cây,long,1.3333,0.3576
84,76.jpg,đặc,stae,1.3333,0.5566
29,2.jpg,qua,qlice,1.3333,0.7144
147,78.jpg,nhà,ulun,1.3333,0.5527
74,87.jpg,đến,dher,1.3333,0.7472
58,7.jpg,bầm,hran,1.3333,0.4642
9,33.jpg,đêm,déin,1.3333,0.6996
88,65.jpg,đây,tirg,1.3333,0.4399
65,80.jpg,được,otuor,1.25,0.7076
131,45.jpg,viên,wer l,1.25,0.7193
131,93.jpg,đừng,cutiny,1.25,0.3774
10,28.jpg,khởi,heher-,1.25,0.4675
112,86.jpg,trên,".l,nen",1.25,0.5478
62,95.jpg,nước,hib'r,1.25,0.4387
127,86.jpg,định,=li n0,1.25,0.6406
108,13.jpg,được,du'de,1.25,0.7182
111,5.jpg,nước,mid't,1.25,0.5412
15,69.jpg,được,atioe,1.25,0.7442
115,100.jpg,nước,hue'l,1.25,0.5128
88,16.jpg,được,chitt,1.25,0.5095
140,10.jpg,được,atuoi,1.25,0.6428
81,83.jpg,được,ohues,1.25,0.4969
49,18.jpg,nước,mi'st,1.25,0.5322
124,100.jpg,sáng,ecdiny,1.25,0.6015
4,53.jpg,vùng,oo-iny,1.25,0.5072
123,67.jpg,điểm,chenn,1.25,0.7245
117,55.jpg,được,atuse,1.25,0.6622
18,52.jpg,được,tuisr,1.25,0.5182
72,68.jpg,tiền,d't'm,1.25,0.6477
26,33.jpg,biển,er'ér,1.25,0.5395
45,85.jpg,lượm,lutoin,1.25,0.58
123,77.jpg,định,ctail,1.25,0.5353
90,13.jpg,được,draar,1.25,0.4546
103,60.jpg,được,tutde,1.25,0.4916
59,57.jpg,được,drior,1.25,0.8972
80,69.jpg,được,ctlse,1.25,0.5624
143,19.jpg,2003,q 0o s,1.25,0.5985
24,84.jpg,đóng,dtirs,1.25,0.6779
16,59.jpg,lượm,dulonr,1.25,0.5214
50,27.jpg,được,tuxrt,1.25,0.4796
90,36.jpg,nghị,ancyly,1.25,0.6351
94,81.jpg,được,dhi'r,1.25,0.5718
46,55.jpg,đồng,diory,1.25,0.5197
76,55.jpg,được,ctutr,1.25,0.8879
76,66.jpg,được,thide,1.25,0.7813
100,81.jpg,điểm,ch'en,1.25,0.5681
87,80.jpg,được,tuo'r,1.25,0.6962
111,60.jpg,buôn,howom,1.25,0.7768
102,55.jpg,động,darey,1.25,0.5023
122,13.jpg,sống,toriy,1.25,0.3194
32,49.jpg,được,chibe,1.25,0.6972
81,30.jpg,nhân,mlair,1.25,0.6768
13,26.jpg,được,chloe,1.25,0.5159
73,30.jpg,được,thide,1.25,0.6693
32,31.jpg,đồng,dorey,1.25,0.6848
145,96.jpg,được,aw'de,1.25,0.6102
139,22.jpg,hàng,frary,1.25,0.3245
80,45.jpg,động,otory,1.25,0.6014
31,45.jpg,hđnd,t p md,1.25,0.6279
14,67.jpg,quan,cpucer,1.25,0.8132
1,2.jpg,nghị,mqli:,1.25,0.662
14,77.jpg,người,mayitr,1.2,0.3045
16,30.jpg,phòng,furorug,1.2,0.6913
126,26.jpg,chính,"clrt'no,",1.2,0.626
113,99.jpg,người,mynia.,1.2,0.6245
7,49.jpg,đường,ptasiy,1.2,0.5924
96,23.jpg,người,mquidi',1.2,0.6219
97,59.jpg,người,nquial-,1.2,0.6291
33,10.jpg,hướng,luioia,1.2,0.3946
80,9.jpg,đường,"dtu'o,",1.2,0.5496
71,8.jpg,trong,a yurz,1.2,0.6142
14,97.jpg,ở,d,1.0,0.2004
47,10.jpg,bây,loay,1.0,0.7877
14,96.jpg,nhỏ,al',1.0,0.6481
133,13.jpg,đầu,ro,1.0,0.4063
47,16.jpg,hà,to,1.0,0.6725
47,4.jpg,tế,6',1.0,0.2781
2,88.jpg,trời,fas,1.0,0.4847
47,1.jpg,sẽ,in,1.0,0.5077
85,99.jpg,đó,ds,1.0,0.3982
103,15.jpg,các,cevic,1.0,0.7461
58,16.jpg,"bằng các hoạt động, dịch vụ của mình, tự nó sẽ nuôi nó. nhân lực không nằm trong biên chế được duyệt. "" đừng ngại "" - thứ trưởng võ trấn an. "" thỏa thuận "" hay không "" thỏa thuận ""?",,1.0,0.0
103,13.jpg,hỏi,n:,1.0,0.5558
133,42.jpg,sở,a,1.0,0.3832
117,97.jpg,nước,mihr,1.0,0.6108
133,31.jpg,lúc,lute,1.0,0.4642
14,88.jpg,được,am,1.0,0.3101
102,81.jpg,đã,x,1.0,0.1596
102,83.jpg,tổ,17,1.0,0.2366
2,86.jpg,7,?,1.0,0.8361
102,67.jpg,là,los,1.0,0.729
102,13.jpg,nước,malr,1.0,0.4673
102,16.jpg,bắc,tt,1.0,0.1957
55,70.jpg,mưu,mu'n,1.0,0.7185
55,65.jpg,du,ow,1.0,0.5923
103,38.jpg,vực,wylc,1.0,0.5157
58,25.jpg,điện,sher,1.0,0.5284
55,63.jpg,lại,lau',1.0,0.741
14,95.jpg,yêu,n,1.0,0.3698
103,43.jpg,lý,&y,1.0,0.6034
94,78.jpg,tỏ,+2,1.0,0.412
94,92.jpg,cực,we,1.0,0.3452
61,41.jpg,sử,su',1.0,0.836
61,38.jpg,đi,oh,1.0,0.5228
11,77.jpg,giá,gh'a,1.0,0.7908
94,93.jpg,ở,o,1.0,0.1294
94,96.jpg,đó,&e,1.0,0.2172
11,76.jpg,số,sa1,1.0,0.3128
11,83.jpg,như,nini,1.0,0.6303
93,27.jpg,bổ,ha,1.0,0.5036
78,51.jpg,tôi,+o,1.0,0.6497
58,29.jpg,bạn,la,1.0,0.6482
78,55.jpg,"vậy bốn người khách mua dâm đó là ai? theo cáo trạng, khoảng 14 g ngày 8 - 12 - 2001, bị cáo lê minh quang và lê thị thắm chở bốn cô gái, trong đó có hai người chưa thành niên, đến khách sạn ngọc vân 2 để bán dâm thì bị công an bắt quả tang. luật sư phạm hữu tình trích bút lục của cơ quan cảnh sát điều tra cho thấy bốn đối tượng có hành vi đi mua dâm bị bắt quả tang hôm đó là các ông lý, thành, thu và phương.",,1.0,0.0
94,82.jpg,để,tt,1.0,0.4157
117,20.jpg,cái,con',1.0,0.6282
78,43.jpg,ầm,t,1.0,0.5786
93,24.jpg,tá,ta',1.0,0.3977
117,22.jpg,ký,i,1.0,0.1898
117,9.jpg,sới,n&,1.0,0.2704
75,76.jpg,xe,2&,1.0,0.6475
117,29.jpg,ở,o,1.0,0.2136
75,37.jpg,đồ,de,1.0,0.4607
75,40.jpg,rừng,ruiwy,1.0,0.4674
93,9.jpg,vì,vi`,1.0,0.8453
78,46.jpg,sẽ,&,1.0,0.1237
103,57.jpg,trọng,triamey,1.0,0.8063
137,59.jpg,anh,ounf,1.0,0.7115
137,56.jpg,băng,lx7,1.0,0.5473
137,66.jpg,án,ah,1.0,0.9798
47,20.jpg,đã,da,1.0,0.7919
137,46.jpg,đường,tay,1.0,0.6025
47,23.jpg,với,w6,1.0,0.2673
131,63.jpg,đồng,tay,1.0,0.5126
131,75.jpg,bé,&e,1.0,0.6312
131,73.jpg,dòng,cloy,1.0,0.8692
78,42.jpg,làm,pan,1.0,0.5359
94,77.jpg,để,de,1.0,0.5069
14,70.jpg,đón,dor,1.0,0.6199
32,37.jpg,đa,t2,1.0,0.3243
78,53.jpg,đuổi,otur,1.0,0.637
94,66.jpg,xử,2u,1.0,0.2194
94,67.jpg,tư,tui,1.0,0.8375
94,69.jpg,đi,oti,1.0,0.7877
78,37.jpg,nội,min,1.0,0.5262
93,67.jpg,20,&o,1.0,0.542
61,49.jpg,về,ut,1.0,0.606
61,47.jpg,và,2,1.0,0.1571
93,71.jpg,đầu,thi,1.0,0.5873
75,31.jpg,điều,f,1.0,0.1896
14,68.jpg,đề,c,1.0,0.2208
32,21.jpg,"trước đây, việc bảo hộ nvơnn với tư cách là công dân (đối với những người mang quốc tịch vn) hoặc bảo vệ họ với tư cách đồng bào (đối với những người đã nhập quốc tịch nước khác) có được đề cập nhưng chưa nhấn mạnh. nghị quyết lần này khẳng định nhà nước có trách nhiệm bảo vệ quyền lợi chính đáng của cộng đồng nvơnn theo luật pháp, công ước và thông lệ quốc tế. điểm đổi mới nổi bật thứ ba là trong phần đề cập tới trách nhiệm của bà con đối với đất nước đã không đặt nặng nghĩa vụ đóng góp của bà con.",,1.0,0.0
11,63.jpg,2,&,1.0,0.4098
2,97.jpg,bị,&!,1.0,0.7607
103,82.jpg,và,wa,1.0,0.6569
103,83.jpg,từ,h,1.0,0.3298
103,61.jpg,có,n,1.0,0.2434
32,3.jpg,vị,ut,1.0,0.2542
103,63.jpg,có,co',1.0,0.8109
32,13.jpg,đó,ad,1.0,0.7575
103,64.jpg,đang,chary,1.0,0.778
75,69.jpg,sự,a,1.0,0.1256
117,53.jpg,cô,23,1.0,0.6303
55,18.jpg,về,se,1.0,0.5396
47,70.jpg,độ,at,1.0,0.7016
2,50.jpg,bất,hak,1.0,0.6165
75,70.jpg,suy,ant,1.0,0.3481
32,9.jpg,vùi,loui,1.0,0.5633
75,75.jpg,giập,cylap,1.0,0.7236
93,39.jpg,dự,dui,1.0,0.535
32,8.jpg,quả,ymi,1.0,0.5548
93,41.jpg,năm,han,1.0,0.5872
93,42.jpg,ấy,2,1.0,0.1624
102,46.jpg,"ông hà văn dũng, giám đốc sở giao thông công chánh, đề nghị đưa vào chương",ó,1.0,0.37
102,37.jpg,nó,no',1.0,0.6524
32,28.jpg,sức,suiic,1.0,0.6338
2,27.jpg,đã,a&,1.0,0.4536
2,42.jpg,khám,lchan,1.0,0.5751
55,59.jpg,đến,de',1.0,0.7988
2,75.jpg,lều,len',1.0,0.6116
103,44.jpg,bất,nat',1.0,0.7728
2,15.jpg,cơ,a,1.0,0.1275
32,29.jpg,được,tio c,1.0,0.7539
102,54.jpg,ào,ad,1.0,0.7113
102,68.jpg,đã,da,1.0,0.9972
102,75.jpg,với,&,1.0,0.3651
103,76.jpg,500,soo,1.0,0.3778
93,13.jpg,20,&e,1.0,0.3553
2,95.jpg,câu hỏi 49: trình bày quan điểm của triết học mác - lênin về vai trò của quần chúng nhân dân và lãnh tụ trong lịch sử? ý nghĩa phương pháp luận của quan điểm này?,,1.0,0.0
47,49.jpg,sử,t,1.0,0.1939
61,28.jpg,tận,la,1.0,0.4625
61,27.jpg,tố,a:,1.0,0.7314
47,54.jpg,lâu,cav,1.0,0.6712
61,25.jpg,đầu,da,1.0,0.7303
102,42.jpg,đều,da,1.0,0.625
11,58.jpg,các,the,1.0,0.6641
2,23.jpg,với,ua,1.0,0.4629
93,50.jpg,dựng,olirg,1.0,0.4851
11,57.jpg,"bản chất của thành công đã bao giờ bạn tự hỏi thành công là gì mà bao kẻ bỏ cả cuộc đời mình theo đuổi? phải chăng đó là kết quả hoàn hảo trong công việc, sự chính xác đến từng chi tiết? hay đó là cách nói khác của từ thành đạt, nghĩa là có được một cuộc sống giàu sang, được mọi người nể phục? vậy thì bạn hãy dành chút thời gian để lặng mình suy ngẫm. cuộc sống sẽ chỉ cho bạn có những người đạt được thành công theo một cách giản dị đến bất ngờ.",f,1.0,0.1695
2,91.jpg,những,wuly,1.0,0.438
32,23.jpg,được,hee,1.0,0.2923
14,100.jpg,hội,lor,1.0,0.4794
103,22.jpg,đút,ot't,1.0,0.688
75,44.jpg,xe,nce,1.0,0.5805
103,21.jpg,độ,to,1.0,0.9069
78,16.jpg,hợp,lae,1.0,0.3876
78,19.jpg,bảy,&ray,1.0,0.6894
103,31.jpg,đội,otai,1.0,0.6599
75,79.jpg,đi,ol,1.0,0.3305
55,42.jpg,bộ,lg,1.0,0.1661
55,99.jpg,dân,daiv,1.0,0.8687
78,2.jpg,đường,tibry,1.0,0.4719
78,4.jpg,tiền,hert,1.0,0.5285
32,57.jpg,lại,ra:,1.0,0.7536
75,48.jpg,phồn,qlum,1.0,0.6061
32,63.jpg,giao,yw,1.0,0.3573
117,47.jpg,"qua mấy chục cây số mênh mông là ruộng, cuối cùng cái giỏ xách đã được hoàn lại chủ. cũng có khi người được mời đến nhận giấy tờ đã đến văn phòng cùng với một anh... công an : "" tại sao đồ tôi bị ăn trộm mà lại xuất hiện ở đây? ""... nhưng cũng có rất nhiều giấy tờ chưa tìm được chủ. lại có nhiều giấy tờ bị những chủ nhân từ chối nhận lại.",,1.0,0.0
117,35.jpg,tới,18,1.0,0.5593
103,56.jpg,"tin bài liên quan : viết tiếp về vụ anh trương xuân đại * công nhân trương xuân đại kiện báo pháp luật (tp.hcm) * luật sư bảo vệ quyền lợi báo pháp luật đề nghị hòa giải * công dân trương xuân đại thắng kiện * số hận của những người nói lên sự thật * đấu thầu lại đường liên cảng a5 * đường liên cảng a5 thi công lại vào cuối tháng 3 - 2004? * vụ sai phạm công trình đường liên cảng a5 có bị "" chìm xuồng ""?",,1.0,0.0
