image,ground_truth,prediction,cer_score
test_1_33.jpg,"ông tuấn anh nói : "" lỗi không của riêng ai, đây là rủi ro trong làm ăn công ty chỉ kiểm soát được một phần sự việc. sự việc liên tục xảy ra khiến hai bên không có sự hợp tác, tin cậy..., mệt mỏi từ hai phía "". không tiền bạc, sức khỏe vơi đi cùng cả số tư trang ít ỏi trên người cũng được đánh đổi lấy đồ dùng trong những ngày ở tù. họ đếm từng ngày trôi đi trong gánh nặng tiền bạc. riêng hồ văn thông, số hộ chiếu ax 0134520, ở cương gián, nghi xuân, hà tĩnh, ngày 21 - 3 - 2004 đã về đến tp.hcm sau cuộc hành trình ba ngày từ malaysia qua thái lan, campuchia và đến cửa khẩu an giang.","qui tu ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai dit, ai ai",0.8912
test_10_47.jpg,""" làm việc này tuy âm thầm nhưng vui, rất vui, chẳng có gì để buồn. việc tốt mà... "", các nhân viên của khai minh nói như vậy. phi cho biết khi làm dự án về dịch vụ báo mất, anh đã thực hiện một cuộc thăm dò về nhu cầu của người dân tp.hcm. hầu như 100% số người được hỏi đều cho biết hoàn toàn tán thành và sẵn sàng hợp tác nếu dịch vụ ra đời. nhặt và trả đã đủ để vui. dịch vụ của họ chính là khâu trung gian đảm bảo cho những niềm vui ấy được trọn vẹn.",""" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """,0.8901
test_1_39.jpg,trước,truldi,0.8
test_1_19.jpg,nhiều,nhi'éiù,0.8
test_10_28.jpg,khởi,khór-,0.75
test_1_21.jpg,nhân,nh ein,0.75
test_1_89.jpg,gắn,gain,0.6667
test_1_11.jpg,tìm,him,0.6667
test_1_7.jpg,vậy,vaiy,0.6667
test_1_4.jpg,tôi,têv,0.6667
test_1_28.jpg,bầm,baim,0.6667
test_10_69.jpg,lập,la'p,0.6667
test_10_36.jpg,làm,laim,0.6667
test_10_27.jpg,thương,thi công,0.6667
test_10_29.jpg,tốt,hot,0.6667
test_10_54.jpg,bàn,bain,0.6667
test_10_6.jpg,cứu,cu'u,0.6667
test_10_72.jpg,lại,lai',0.6667
test_10_43.jpg,hứa,huta,0.6667
test_10_41.jpg,hút,hui,0.6667
test_10_83.jpg,rồi,noi,0.6667
test_10_88.jpg,đây,day,0.6667
test_10_86.jpg,vậy,và y,0.6667
test_10_63.jpg,cấp,cug,0.6667
test_1_85.jpg,vừa,vria,0.6667
test_1_59.jpg,hơn,ho'n,0.6667
test_1_49.jpg,khi,lchi,0.6667
test_10_10.jpg,giá,gia',0.6667
test_10_7.jpg,chủ,chi',0.6667
test_10_17.jpg,một,mo,0.6667
test_1_94.jpg,cao,eas,0.6667
test_1_1.jpg,trước,trulé,0.6
test_10_100.jpg,đường,duong,0.6
test_10_20.jpg,người,ngu'o,0.6
test_1_27.jpg,người,nguèi:,0.6
test_10_66.jpg,xách,x'ach,0.5
test_10_33.jpg,bị,b!,0.5
test_10_9.jpg,trộn,thôn,0.5
test_1_51.jpg,biết,bier,0.5
test_10_45.jpg,soát,soait,0.5
test_1_36.jpg,vùng,wǔng,0.5
test_1_42.jpg,và,va,0.5
test_1_2.jpg,nghị,nghi.,0.5
test_10_68.jpg,nghiệp,nyhép,0.5
test_10_15.jpg,cá,ca,0.5
test_1_71.jpg,âm,am,0.5
test_1_53.jpg,động,dòng,0.5
test_10_11.jpg,trưởng,tru'ŵng,0.5
test_1_65.jpg,rõ,ro,0.5
test_10_57.jpg,mà,ma,0.5
test_10_76.jpg,thấy,phây,0.5
test_10_67.jpg,có,c',0.5
test_10_51.jpg,hoãn,huan,0.5
test_1_45.jpg,dưới mọi hình thức.,chữ số moi hình thức,0.4211
test_1_23.jpg,xuống,xụông,0.4
test_1_20.jpg,xuống,x:bng,0.4
test_10_89.jpg,trách,track,0.4
test_10_49.jpg,thiết,thiel,0.4
test_1_58.jpg,quyết,quèèt,0.4
test_10_35.jpg,"có khí hậu biển là vùng nhiệt đới tạo điều kiện cho sinh vật biển phát triển, tồn","6 hhi haurien la vung nhiet du tuo dienrien cho sinh vat phat trien, ton",0.3704
test_10_14.jpg,cũng gọi trực tiếp vào số máy của pv cho rằng việc anh em rượt đuổi và cho người truy tìm,củng gỗ trực tiếp xả sô mấy cuốn pv cho nâng viện och em rẻ để thu？你 vui cho ngedir truy tin,0.3483
test_10_50.jpg,nhà,nhā,0.3333
test_10_53.jpg,huệ,huê,0.3333
test_10_46.jpg,lấy,lay,0.3333
test_10_61.jpg,hợp,hop,0.3333
test_10_58.jpg,nilông,nìlóng,0.3333
test_10_70.jpg,vào,vão,0.3333
test_10_5.jpg,ông,ong,0.3333
test_1_68.jpg,chương,chuống,0.3333
test_1_41.jpg,mét,met,0.3333
test_10_40.jpg,bọn,bon,0.3333
test_1_47.jpg,ông,cng,0.3333
test_1_96.jpg,đai,tai,0.3333
test_1_86.jpg,của,cía,0.3333
test_1_61.jpg,còn,con,0.3333
test_1_60.jpg,mặn,mán,0.3333
test_10_90.jpg,vừa,vía,0.3333
test_10_73.jpg,rồi,rəi,0.3333
test_10_95.jpg,ông,ong,0.3333
test_10_87.jpg,lỗi,lsi,0.3333
test_10_71.jpg,mới,mēi,0.3333
test_10_30.jpg,máy,may,0.3333
test_10_32.jpg,bảy,bay,0.3333
test_10_39.jpg,văn,v=n,0.3333
test_10_18.jpg,nhà,nhã,0.3333
test_1_76.jpg,gói,goi,0.3333
test_1_73.jpg,cãi,cai,0.3333
test_1_74.jpg,cấp,cap,0.3333
test_1_97.jpg,"nhiều gia đình trong số họ đã dắt díu nhau đi đâu, chính anh đại bây giờ","nhhicu` gia dinh trong so'ho cta` dát diu nhau oti tau, chính anh tui baly gio",0.3194
test_10_8.jpg,"sự việc nói trên đã gây bất bình cho hàng trăm hộ dân có đất ở mua tại khu dân cư mới xuân hải, gây nên kiện cáo kéo dài.","suất việc noi trên dạ gayı hát biinh cho hang traim họ dân có dat ở mua
dai khuu dân cu một xuân hai , gayı nenh kiên cao keo dài.",0.281
test_1_37.jpg,lặng,lăng,0.25
test_1_5.jpg,chìa,chia,0.25
test_10_75.jpg,việt,viet,0.25
test_10_93.jpg,sống,sõng,0.25
test_10_13.jpg,lịch,lich,0.25
test_1_56.jpg,viên,vien,0.25
test_1_26.jpg,ngăn,ngan,0.25
test_1_24.jpg,chợt,chôt,0.25
test_1_44.jpg,nhất,nhat,0.25
test_10_91.jpg,"tranh chống tiêu cực ở công trình đường liên cảng a5, gia đình anh trương","tranh chổng tieu cúc ở công trình duông lien cáng a5, qia dinh anh cuentry",0.2466
test_1_17.jpg,trong,thong,0.2
test_1_43.jpg,trình,trinh,0.2
test_1_13.jpg,trung,thung,0.2
test_1_25.jpg,nhánh,nhanh,0.2
test_1_3.jpg,"chuyện những người mang số 115. sáng nay ngồi quán cà phê cóc, ông bạn già của tôi tâm sự :","chuyển những ngữobi mang số 115. sáng nay ngữobi quán cà phí cóc, ông bangqiài của lội tầm sư:",0.1868
test_10_82.jpg,"du lịch miền trung như dự án trung tâm thông tin du lịch, phát triển bãi đậu đổ xe","du lich mien trung nhui du án trung tâm thông tin du lich , phát trên bài dấu dỗ xe",0.1707
test_1_52.jpg,nguyên,nguyễn,0.1667
test_1_38.jpg,hạnh phúc của nhân dân.,hành phúc của nhân dân.,0.0435
